"","cod_muni","muni","arroz_em_casca_1","milho_em_grao_1","soja_em_grao_1","valor_producao","class_valor_producao"
"343",5101308,"Arenápolis (MT)",0,367,0,367,"Médio Baixo"
"344",5101407,"Aripuanã (MT)",0,984,690,1674,"Médio Alto"
"345",5101803,"Barra do Garças (MT)",0,0,76445,76445,"Alto"
"346",5101852,"Bom Jesus do Araguaia (MT)",0,16848,306965,323813,"Muito Alto"
"347",5101902,"Brasnorte (MT)",12284,161445,688793,862522,"Muito Alto"
"348",5102504,"Cáceres (MT)",0,10268,0,10268,"Médio Alto"
"349",5102603,"Campinápolis (MT)",0,289,45238,45527,"Alto"
"350",5102637,"Campo Novo do Parecis (MT)",0,174092,677392,851484,"Muito Alto"
"351",5102678,"Campo Verde (MT)",0,172971,421770,594741,"Muito Alto"
"352",5102686,"Campos de Júlio (MT)",0,122110,508088,630198,"Muito Alto"
"353",5102694,"Canabrava do Norte (MT)",0,19674,7237,26911,"Médio Alto"
"354",5102702,"Canarana (MT)",0,62944,610181,673125,"Muito Alto"
"355",5102793,"Carlinda (MT)",0,4620,0,4620,"Médio Alto"
"356",5102850,"Castanheira (MT)",0,6,0,6,"Muito Baixo"
"357",5103007,"Chapada dos Guimarães (MT)",0,14139,53598,67737,"Alto"
"358",5103056,"Cláudia (MT)",781,68693,244802,314276,"Muito Alto"
"359",5103106,"Cocalinho (MT)",0,630,0,630,"Médio Alto"
